Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
2024-09-28 10:01:00,2-9496,Sale,Minuman,10107,Korean Mango Fresh Milk,,,1.0,26667.0,0.0,26667.0,0.0,26667.0,1333.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-04 17:40:00,2-9055,Sale,Kudapan,10015,Tahu Lada Garam,,,1.0,25238.0,0.0,25238.0,0.0,25238.0,1262.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-05 18:40:00,2-9070,Sale,Roti,10002,Roti Cranberry,,,1.0,18571.0,0.0,18571.0,0.0,18571.0,929.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-29 12:10:00,2-9539,Sale,Kudapan,10010,Pisang Goreng,,,1.0,25238.0,0.0,25238.0,0.0,25238.0,1262.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-01 20:47:00,2-9009,Sale,Hidangan Utama,10003,Nasi Goreng Temu,,,2.0,59048.0,0.0,59048.0,0.0,59048.0,2952.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-11 19:41:00,2-9208,Sale,Roti,10005,Roti Gandum Cokelat,,,1.0,19524.0,0.0,19524.0,0.0,19524.0,976.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-07 16:26:00,2-9115,Sale,Roti,10054,Roti toast eskrim,,,1.0,25238.0,0.0,25238.0,0.0,25238.0,1262.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-29 08:47:00,2-9529,Refund,Roti,10005,Roti Gandum Cokelat,,,-1.0,-19524.0,0.0,-19524.0,-0.0,-19524.0,-976.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-05 13:08:00,2-9060,Sale,Hidangan Utama,10003,Nasi Goreng Temu,,,3.0,88572.0,0.0,88572.0,0.0,88572.0,4429.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-01 15:25:00,2-8994,Sale,Hidangan Utama,10104,Chicken Claypot Rice,,,2.0,69524.0,0.0,69524.0,0.0,69524.0,3476.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-08 19:02:00,2-9181,Sale,Roti,10000,Roti Bawang Saus Keju,,,1.0,29524.0,0.0,29524.0,0.0,29524.0,1476.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-06 11:22:00,2-9089,Sale,Roti,10042,Roti coklat,,,1.0,9524.0,0.0,9524.0,0.0,9524.0,476.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-05 15:32:00,2-9065,Sale,Roti,10000,Roti Bawang Saus Keju,,,1.0,29524.0,0.0,29524.0,0.0,29524.0,1476.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-15 16:18:00,2-9313,Sale,Kudapan,10010,Pisang Goreng,,,1.0,25238.0,0.0,25238.0,0.0,25238.0,1262.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-24 16:53:00,2-9452,Sale,Roti,10002,Roti Cranberry,,,1.0,18571.0,0.0,18571.0,0.0,18571.0,928.0,Take Away,Kedai,Temu Roti,Owner,,,,Closed
2024-09-17 13:12:00,2-9340,Sale,Minuman,10123,Rempah Madu Dingin,,,1.0,21905.0,0.0,21905.0,0.0,21905.0,1096.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-05 19:43:00,2-9081,Sale,Minuman,10122,Rempah Madu Panas,,,1.0,21905.0,0.0,21905.0,0.0,21905.0,1095.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-18 16:35:00,2-9367,Sale,Minuman,10128,Es Kopi Susu,,,1.0,23333.0,0.0,23333.0,0.0,23333.0,1166.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-18 09:24:00,2-9351,Sale,Roti,10055,Roti Gandum Cokelat 2 pcs,,,1.0,34762.0,0.0,34762.0,0.0,34762.0,1738.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-07 19:43:00,2-9134,Refund,Roti,10002,Roti Cranberry,,,-1.0,-18571.0,0.0,-18571.0,-0.0,-18571.0,-929.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-10 16:47:00,2-9188,Sale,Minuman,10106,Korean Strawberry Fresh Milk,,,2.0,53334.0,0.0,53334.0,0.0,53334.0,2667.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
2024-09-22 11:11:00,2-9431,Sale,Kudapan,10004,Tahu walik,,,1.0,25238.0,0.0,25238.0,0.0,25238.0,1262.0,Dine In,Kedai,Temu Roti,Owner,,,,Closed
